('SNA62128', 'ELE14480') 0.30596285434995113
('SNA55617', 'SNA24799') 0.3059125964010283
('DAI50913', 'GRO33815') 0.30580357142857145
('SNA43319', 'DAI62779') 0.3055555555555556
('SNA80324', 'DAI62779') 0.3032194480946124
('DAI87448', 'DAI62779') 0.30303030303030304
('DAI50921', 'DAI62779') 0.3028571428571429
('FRO98184', 'GRO30386') 0.3020833333333333
('FRO92469', 'DAI75645') 0.30153121319199055
('DAI88807', 'SNA72163') 0.2993920972644377
('FRO35729', 'ELE66810') 0.2990867579908676
('GRO21487', 'GRO73461') 0.2983451536643026
('FRO66272', 'DAI62779') 0.2977346278317152
('FRO79022', 'GRO46854') 0.2956058588548602
('SNA90094', 'DAI62779') 0.2935251798561151
('DAI35347', 'ELE66810') 0.29339622641509433
('ELE32164', 'DAI62779') 0.2918274289722904
('FRO75586', 'DAI62779') 0.2887139107611549
('DAI31081', 'DAI62779') 0.28865979381443296
('ELE21353', 'FRO19221') 0.28837209302325584
('GRO38814', 'DAI62779') 0.28772189349112426
('DAI85309', 'ELE99737') 0.28739642389882253
('ELE11111', 'DAI62779') 0.28606658446362515
('DAI51880', 'ELE26917') 0.2853333333333333
('FRO92469', 'DAI62779') 0.2850412249705536
('SNA72163', 'SNA59903') 0.28440366972477066
('DAI67621', 'DAI62779') 0.2838541666666667
('SNA90258', 'GRO99222') 0.28363636363636363
('ELE26917', 'DAI62779') 0.2835951134380454
('SNA95666', 'DAI62779') 0.2835820895522388
('ELE60381', 'DAI62779') 0.2826086956521739
('ELE25077', 'DAI62779') 0.2824267782426778
('GRO88505', 'DAI62779') 0.2821497120921305
('FRO24098', 'ELE53126') 0.2802303262955854
('FRO61354', 'FRO40251') 0.28
('GRO59710', 'DAI62779') 0.27994011976047906
('FRO40251', 'DAI62779') 0.27570213862406595
('FRO99783', 'DAI62779') 0.27486910994764396
('DAI88079', 'ELE17451') 0.2743362831858407
('DAI92600', 'DAI42083') 0.2737967914438503
('ELE37048', 'DAI22240') 0.2730673316708229
('ELE14480', 'SNA62128') 0.2728857890148213
('DAI92600', 'GRO73461') 0.2716577540106952
('ELE74482', 'SNA99873') 0.2712765957446808
('FRO16142', 'DAI62779') 0.2706766917293233
('DAI49199', 'DAI62779') 0.26957831325301207
('DAI29159', 'DAI62779') 0.2692307692307692
('DAI87448', 'GRO73461') 0.2692307692307692
('SNA69641', 'ELE12792') 0.2687813021702838
('FRO73056', 'GRO73461') 0.26785714285714285
('ELE59935', 'DAI62779') 0.26773455377574373
('SNA44190', 'GRO73461') 0.26773455377574373
('SNA53220', 'FRO19221') 0.2672413793103448
('DAI55911', 'DAI62779') 0.26591375770020537
('DAI42493', 'ELE32164') 0.26573426573426573
('FRO89565', 'ELE32164') 0.2655038759689923
('DAI48891', 'DAI62779') 0.26545454545454544
('SNA95666', 'ELE74009') 0.26492537313432835
('ELE99737', 'DAI62779') 0.26451187335092347
('ELE56788', 'DAI62779') 0.26394052044609667
('GRO46854', 'DAI62779') 0.2625284738041002
('SNA57865', 'ELE17451') 0.2623376623376623
('ELE37770', 'DAI70456') 0.2619047619047619
('GRO99222', 'DAI62779') 0.26158940397350994
('SNA72163', 'GRO73461') 0.26146788990825687
('SNA38068', 'GRO73461') 0.26140567200986436
('FRO19221', 'GRO73461') 0.2613195342820181
('ELE53126', 'FRO31317') 0.26045400238948624
('DAI75645', 'GRO73461') 0.260233918128655
('FRO61354', 'GRO73461') 0.26
('SNA55617', 'DAI62779') 0.2596401028277635
('ELE91337', 'SNA45677') 0.2591155934833204
('DAI88079', 'DAI62779') 0.2588495575221239
('FRO79022', 'DAI85309') 0.2583222370173103
('DAI73122', 'GRO73461') 0.2579505300353357
('GRO69543', 'FRO40251') 0.25736961451247165
('SNA44190', 'SNA80324') 0.2562929061784897
('SNA72163', 'DAI62779') 0.25596330275229356
('GRO59710', 'DAI43223') 0.2554890219560878
('FRO24098', 'DAI62779') 0.255278310940499
('GRO30386', 'ELE17451') 0.2543478260869565
('SNA50789', 'DAI62779') 0.2534013605442177
('GRO81647', 'DAI62779') 0.2530612244897959
('DAI22240', 'DAI62779') 0.2529313232830821
('DAI43223', 'ELE17451') 0.2527131782945736
('ELE68605', 'DAI62779') 0.25107604017216645
('FRO92469', 'GRO73461') 0.2508833922261484
('SNA69641', 'GRO73461') 0.25041736227045075
('SNA72163', 'ELE17451') 0.24954128440366974
('ELE32164', 'DAI43223') 0.2493861802876184
('DAI22896', 'GRO73461') 0.24938474159146842
('DAI88807', 'SNA59903') 0.24924012158054712
('ELE85027', 'DAI62779') 0.2489539748953975
('ELE59028', 'FRO85978') 0.24814264487369986
('DAI31081', 'ELE32164') 0.24742268041237114
('GRO50832', 'DAI62779') 0.24671052631578946
('FRO80039', 'DAI62779') 0.24630541871921183
('SNA45677', 'DAI62779') 0.2460285132382892
('FRO98184', 'DAI62779') 0.24583333333333332
('SNA30755', 'DAI62779') 0.24561403508771928
('GRO73461', 'FRO40251') 0.24486396446418657
('GRO68067', 'DAI62779') 0.24423963133640553
('SNA18336', 'DAI85309') 0.24400564174894218
('SNA49107', 'DAI62779') 0.24380165289256198
